analysis_id,53wmt4l8fcs7084
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
mouse_strain,129SV
pvalue,0.0535623
gene_symbol,Cntfr
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
