parameter_name,Facial Morphology
pvalue,0.1330164
mouse_strain,129SV
analysis_id,p2o80srwf3c2xhs
gene_symbol,Inpp1
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
