gene_symbol,Gfi1b
parameter_name,Eye
gene_accession_id,MGI:1276578
analysis_id,o25sjnrkp25wpw5
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
pvalue,0.8009453
mouse_life_stage,Early adult
