analysis_id,htak6xdk9ud1290
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_id,MGP_IMM_121_001
pvalue,0.3034298
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
