parameter_id,GMC_906_001_005
mouse_strain,C57BL
analysis_id,36t53y8snw4jf1i
pvalue,0.4135761
parameter_name,Potassium
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
