analysis_id,u4nj90z788bh1k5
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Mecom
pvalue,0.7936415
gene_accession_id,MGI:95457
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
