gene_symbol,Tnni1
mouse_strain,C57BL
parameter_name,Bone Mineral Content
analysis_id,il9oqxi58mj0zuy
gene_accession_id,MGI:105073
pvalue,0.8152747
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
