parameter_name,Tremor
gene_symbol,Amigo1
analysis_id,4i9v4mz3s5lmog5
gene_accession_id,MGI:2653612
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4754653
