gene_symbol,Cisd2
pvalue,0.4695621
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
mouse_strain,C57BL
analysis_id,38wgs6nt13giy0t
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
