analysis_id,a3zwke066f6d95w
parameter_name,Whole arena resting time
gene_accession_id,MGI:1931322
pvalue,0.2621189
parameter_id,HRWLLA_OFD_007_001
gene_symbol,Car13
mouse_life_stage,Early adult
mouse_strain,C57BL
