analysis_id,13132946w51w1rb
pvalue,0.922908
parameter_name,Retina (combined)
gene_symbol,MACO1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:1913396
