parameter_name,Liver weight
gene_symbol,Secisbp2l
analysis_id,107lvkn56q4hqbk
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
pvalue,0.5942817
