analysis_id,967ywc6hzr46623
parameter_id,MGP_MLN_021_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
pvalue,0.07933426
mouse_strain,C57BL
gene_symbol,Psmd14
parameter_name,KLRG1+ gd T cells - % of gd T cells
