gene_symbol,Kif24
pvalue,0.6918789
analysis_id,o05671h45057fv8
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
parameter_name,Total B cells - % of CD45+
