analysis_id,1hjw7zb91iqe1hu
gene_accession_id,MGI:1920638
parameter_id,IMPC_ABR_006_001
pvalue,0.9142273
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_name,12kHz-evoked ABR Threshold
