analysis_id,5g85arg5j3i844f
gene_symbol,Zfp683
pvalue,0.888592
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:3650254
parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
