gene_symbol,Rhbg
analysis_id,z96me52nf247l42
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
parameter_name,HRV
parameter_id,IMPC_ECG_010_001
pvalue,0.5539929
mouse_strain,C57BL
