gene_symbol,Nr0b2
parameter_name,Periphery permanence time
pvalue,0.5938872
gene_accession_id,MGI:1346344
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
analysis_id,wmselc4rk65n056
mouse_strain,B6J
