gene_symbol,Gja10
parameter_id,MGP_PBI_018_001
analysis_id,qcx2238j1u0g56f
mouse_life_stage,Early adult
parameter_name,Ly6Clow monocyte percentage
pvalue,0.9928649
mouse_strain,C57BL
gene_accession_id,MGI:1339969
