parameter_name,Calcium
gene_symbol,Mecom
analysis_id,b272pb396to43s7
pvalue,0.1753945
gene_accession_id,MGI:95457
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,E12.5
