parameter_name,Hindlimbs - size
mouse_strain,C57BL
gene_accession_id,MGI:109384
gene_symbol,Atf3
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
analysis_id,oc9wa6q484z9h86
pvalue,0.9674534
