parameter_name,Potassium
parameter_id,GMC_906_001_005
analysis_id,086kyjb5ix110rg
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.4316124
mouse_strain,C57BL
mouse_life_stage,E15.5
