parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
analysis_id,o9zd8yr4s4wh9gp
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
pvalue,0.3232418
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
