analysis_id,a80r0y9260063z3
gene_symbol,Lcn2
parameter_id,MGP_IMM_125_001
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
pvalue,0.126452
gene_accession_id,MGI:96757
