analysis_id,83zvu50968p43md
parameter_id,MGP_IMM_010_001
mouse_life_stage,Early adult
pvalue,0.1879743
gene_accession_id,MGI:1860103
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Slc2a8
mouse_strain,C57BL
