mouse_life_stage,E12.5
analysis_id,ni5eieyw8jpgqjz
pvalue,0.4056897
parameter_id,MGP_IMM_028_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
