analysis_id,y09p7k2o12gy57m
mouse_strain,C57BL
parameter_name,Neural tube morphology
mouse_life_stage,Early adult
gene_symbol,Lpgat1
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:2446186
pvalue,0.5985796
