analysis_id,gdc4gm9i95uh986
parameter_name,Vibrissae - presence
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_id,JAXLA_CSD_023_001
gene_symbol,Ntmt2
mouse_life_stage,Early adult
pvalue,0.9791756
