gene_symbol,Rhbg
pvalue,0.8764577
parameter_name,CD11b-low cDC - % of cDC
gene_accession_id,MGI:1927379
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
analysis_id,o0g2axwx85w1v33
mouse_life_stage,Early adult
