analysis_id,9g7z9090y0u9345
parameter_id,MGP_IMM_112_001
mouse_strain,C57BL
gene_accession_id,MGI:3046938
pvalue,0.7216669
parameter_name,Follicular B cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Hrnr
