mouse_life_stage,E9.5
parameter_name,CD8 CD44-CD62L+ T cells
analysis_id,139628i06610i2b
parameter_id,IMPC_IMM_034_001
pvalue,0.5931859
mouse_strain,C57BL
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
