analysis_id,771s69b95b9ky50
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:95835
parameter_name,Hindlimb digit - size
pvalue,0.7030114
mouse_life_stage,E9.5
gene_symbol,Hspa5
