analysis_id,702r84a95513rdv
gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_id,ESLIM_004_001_701
parameter_name,Glucose response AUC
pvalue,0.05204735
gene_accession_id,MGI:1914836
mouse_strain,C57BL
