pvalue,1.332268e-15
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
analysis_id,33dx4u03wvn1u80
gene_accession_id,MGI:894679
gene_symbol,Bach2
