parameter_name,Whole arena average speed
parameter_id,ESLIM_007_001_005
pvalue,0.3263433
gene_accession_id,MGI:2441730
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
analysis_id,5mvl2dj5k846773
