gene_symbol,Ivd
pvalue,0.6227595
parameter_name,Eyelid morphology
gene_accession_id,MGI:1929242
analysis_id,5kht3ep890g2762
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
