analysis_id,8qg3s48qwkbf562
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
pvalue,0.08745396
parameter_id,ESLIM_005_001_702
mouse_strain,C57BL
parameter_name,Lean/Body weight
gene_symbol,Frmpd1
