analysis_id,x8022bbnv8lk8a6
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
gene_symbol,Trp53rkb
pvalue,0.7117081
gene_accession_id,MGI:1914050
