analysis_id,c3j3vl50pg5000m
pvalue,0.3020551
gene_accession_id,MGI:1338022
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
gene_symbol,Opn3
