parameter_name,Lean/Body weight
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,JAXLA_DXA_008_001
mouse_life_stage,E12.5
pvalue,0.1440149
analysis_id,a00p2zl6w9ghu83
gene_accession_id,MGI:2444554
