gene_symbol,Rab17
gene_accession_id,MGI:104640
mouse_strain,C57BL
analysis_id,2h67964zvs0vxcb
pvalue,0.8193088
parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
