analysis_id,80051r788c3lbpk
gene_symbol,Slc30a4
pvalue,0.2216656
parameter_id,MGP_MLN_072_001
mouse_life_stage,Late adult
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1345282
