parameter_name,Fat/Body weight
gene_accession_id,MGI:891989
parameter_id,IMPC_DXA_009_001
gene_symbol,Npbwr1
mouse_life_stage,Early adult
pvalue,0.7110237
mouse_strain,C57BL
analysis_id,4km6d7834a23479
