parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
analysis_id,42ja2t8qe22i123
gene_accession_id,MGI:88461
pvalue,0.9560219
gene_symbol,Col6a3
