parameter_id,MGP_BMI_006_001
gene_symbol,Lpgat1
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:2446186
analysis_id,5yr72fo83b4g6pb
pvalue,0.6087711
mouse_strain,C57BL
mouse_life_stage,Late adult
