analysis_id,c3hhj4m0e1c83u7
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
pvalue,0.2913093
gene_symbol,Trdmt1
parameter_name,Center average speed
