analysis_id,uo367sn992j8t56
parameter_id,IMPC_ECH_002_001
mouse_strain,C57BL
gene_accession_id,MGI:1915087
pvalue,0.4699504
gene_symbol,Tiprl
parameter_name,End-Diastolic Diameter
mouse_life_stage,E12.5
