analysis_id,2rso0uzq28k68n2
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.4096956
gene_symbol,AU040320
parameter_name,Magnesium
parameter_id,M-G-P_025_001_030
