gene_symbol,Tbl1xr1
parameter_name,Percentage center time
mouse_strain,C57BL
analysis_id,40p2893xh6183p4
pvalue,0.931069
mouse_life_stage,Late adult
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:2441730
