gene_symbol,Cldn19
parameter_name,Neutrophil percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
pvalue,0.1679496
analysis_id,p6e94m2s8c31y2o
gene_accession_id,MGI:3033992
