parameter_name,Magnesium
mouse_strain,C57BL
analysis_id,f411d91u17xk28e
mouse_life_stage,Early adult
gene_symbol,Rab22a
pvalue,0.3761457
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:105072
