parameter_name,Periphery permanence time
gene_symbol,Slc30a4
analysis_id,30nl6pb6h1751m6
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.7618387
mouse_life_stage,Late adult
parameter_id,IMPC_OFD_012_001
