analysis_id,50g0w9w6715843e
pvalue,0.718743
gene_symbol,Stk35
gene_accession_id,MGI:1914583
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
