gene_symbol,Trdmt1
parameter_name,Retina (combined)
pvalue,0.4552325
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
analysis_id,75fzc39c8pikpq1
mouse_strain,C57BL
