parameter_id,IMPC_IMM_069_001
gene_accession_id,MGI:1913506
pvalue,0.1634395
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Ssr2
analysis_id,qu0g618v4uu8438
mouse_strain,C57BL
mouse_life_stage,Early adult
