analysis_id,655gb225y1u0lbh
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.5363331
mouse_strain,C57BL
parameter_name,Heart weight
gene_symbol,Snap23
