analysis_id,5vl1e822p98423u
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1915524
parameter_name,Red blood cell count
gene_symbol,Toporsl
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9708189
