parameter_name,Distance travelled - total
analysis_id,7j8g7svl8ss854w
parameter_id,IMPC_OFD_020_001
gene_symbol,Sfpq
pvalue,0.2002442
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
