parameter_id,IMPC_GEP_076_001
analysis_id,mol07637pumhe3c
mouse_strain,C57BL
pvalue,0.4043158
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_name,Cleft palate
gene_accession_id,MGI:1913838
