parameter_name,Magnesium
parameter_id,M-G-P_025_001_030
analysis_id,hx274r1e1269106
gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
pvalue,0.3063139
mouse_strain,C57BL
