gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
analysis_id,8e4398nns45750n
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8768081
