analysis_id,427hnifm0oucv6z
pvalue,0.613536
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
gene_symbol,Slc30a4
mouse_life_stage,Late adult
