gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
pvalue,0.1108691
analysis_id,0z79776466d7i7y
mouse_strain,129SV
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
mouse_life_stage,Early adult
