parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_name,Glucose
analysis_id,p34ungx0ed4a9f7
mouse_strain,C57BL
pvalue,0.2147038
